regime,base_spread,inventory_skew,uncertainty_sensitivity,brownian_volatility,observation_noise_std,optimization_avg_risk_adjusted_score,evaluation_avg_risk_adjusted_score,score_difference,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
calm_clean,0.1,0.004,0.0,0.01,0.01,7.0893291097391975,6.99571583931606,-0.0936132704231376,10.652903839316059,0.979147062231517,6.99571583931606,229.436,1.868,6.3,1.828594,0.007972980823991544,0.09999999999999859,0.01708440624025981
volatile_clean,0.05,0.004,1.0,0.05,0.01,7.323345550658787,7.0979345428622045,-0.2254110077965823,10.742810542862205,3.7383227352546062,7.0979345428622045,226.84,1.756,6.242,1.822438,0.00798908123557539,0.10105063309562363,0.05105063309562363
calm_noisy,0.2,0.004,5.0,0.01,0.1,-0.7576348973151498,-0.8674197487501835,-0.10978485143503369,0.18974425124981661,0.3808209449123147,-0.8674197487501835,1.116,0.692,0.836,0.528582,0.07981519902363113,0.9027298521309126,0.14054597042618253
volatile_noisy,0.2,0.004,5.0,0.05,0.1,-0.7642819627903031,-0.8483060709448622,-0.08402410815455907,0.16520192905513775,1.2961103346183118,-0.8483060709448622,0.888,0.588,0.706,0.506754,0.0797833301717395,0.9405974173476681,0.14811948346953357
