regime,minimum_avg_fills,feasible,brownian_volatility,observation_noise_std,base_spread,inventory_skew,uncertainty_sensitivity,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_abs_inventory,avg_total_fills,avg_effective_spread
calm_clean,1,True,0.01,0.01,0.1,0.004,0.0,10.723709109739197,0.961127727386278,7.0893291097391975,1.81719,230.81,0.0999999999999985
calm_clean,10,True,0.01,0.01,0.1,0.004,0.0,10.723709109739197,0.961127727386278,7.0893291097391975,1.81719,230.81,0.0999999999999985
calm_clean,25,True,0.01,0.01,0.1,0.004,0.0,10.723709109739197,0.961127727386278,7.0893291097391975,1.81719,230.81,0.0999999999999985
calm_clean,50,True,0.01,0.01,0.1,0.004,0.0,10.723709109739197,0.961127727386278,7.0893291097391975,1.81719,230.81,0.0999999999999985
calm_clean,100,True,0.01,0.01,0.1,0.004,0.0,10.723709109739197,0.961127727386278,7.0893291097391975,1.81719,230.81,0.0999999999999985
volatile_clean,1,True,0.05,0.01,0.05,0.004,1.0,10.93962555065879,3.3733723415622676,7.323345550658787,1.80814,228.39,0.1010246860653931
volatile_clean,10,True,0.05,0.01,0.05,0.004,1.0,10.93962555065879,3.3733723415622676,7.323345550658787,1.80814,228.39,0.1010246860653931
volatile_clean,25,True,0.05,0.01,0.05,0.004,1.0,10.93962555065879,3.3733723415622676,7.323345550658787,1.80814,228.39,0.1010246860653931
volatile_clean,50,True,0.05,0.01,0.05,0.004,1.0,10.93962555065879,3.3733723415622676,7.323345550658787,1.80814,228.39,0.1010246860653931
volatile_clean,100,True,0.05,0.01,0.05,0.004,1.0,10.93962555065879,3.3733723415622676,7.323345550658787,1.80814,228.39,0.1010246860653931
calm_noisy,1,True,0.01,0.1,0.2,0.002,5.0,0.1650107923084766,0.3626415543605398,-0.9732092076915234,0.56911,1.06,0.9021371154864366
calm_noisy,10,True,0.01,0.1,0.1,0.004,3.0,1.784552876066826,0.9129528393476628,-1.4082671239331743,1.59641,22.26,0.5213461657315759
calm_noisy,25,True,0.01,0.1,0.15,0.004,2.0,2.456421308793226,0.9341082824706444,-1.5685386912067745,2.01248,44.04,0.4293785703685549
calm_noisy,50,True,0.01,0.1,0.2,0.004,1.0,2.7612466184848796,1.2519614687196057,-1.658673381515121,2.20996,84.06,0.3399788499633031
calm_noisy,100,True,0.01,0.1,0.15,0.004,1.0,2.448245376295373,1.2068992387384487,-2.160914623704627,2.30458,116.36,0.290273480104399
volatile_noisy,1,True,0.05,0.1,0.15,0.0,5.0,0.3854952602146585,1.6317585236960348,-0.9315047397853417,0.6585,1.54,0.888392796952814
volatile_noisy,10,True,0.05,0.1,0.1,0.004,2.0,3.062253544100531,3.9489427510620976,-1.0958664558994686,2.07906,57.56,0.3974780347177553
volatile_noisy,25,True,0.05,0.1,0.1,0.004,2.0,3.062253544100531,3.9489427510620976,-1.0958664558994686,2.07906,57.56,0.3974780347177553
volatile_noisy,50,True,0.05,0.1,0.1,0.004,2.0,3.062253544100531,3.9489427510620976,-1.0958664558994686,2.07906,57.56,0.3974780347177553
volatile_noisy,100,True,0.05,0.1,0.15,0.004,1.0,3.1566142272880735,5.077078706516706,-1.5079057727119265,2.33226,108.45,0.2985123776244621
