regime,base_spread,inventory_skew,uncertainty_sensitivity,strategy,num_steps,num_trials,risk_penalty,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,observation_noise_std,volatility_window,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
calm_clean,0.1,0.002,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.893473421471818,1.3300455253566805,4.848313421471818,136.41,2.59,7.71,2.52258,0.007993422702103306,0.1513958259711074,0.017131941990369128
calm_clean,0.15,0.002,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.844994947799817,1.2804482076839712,4.622034947799816,138.54,2.62,7.49,2.6114800000000002,0.007978105361184245,0.15000000000000283,0.017022341657340137
calm_clean,0.15,0.004,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.157107956752906,1.276764967284439,4.551527956752907,84.18,2.16,5.55,1.80279,0.007961281180848205,0.20109957102084958,0.0170331903402832
calm_clean,0.05,0.002,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.789644884245575,1.102181242648506,4.518444884245576,316.99,2.43,8.49,2.6356,0.00794129573433497,0.0670556440240197,0.017055644024019698
calm_clean,0.15,0.002,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.467693936899513,1.4459623222123765,4.517273936899514,116.78,2.56,6.91,2.4752099999999997,0.007988949600203698,0.16710691089967425,0.01710691089967425
calm_clean,0.2,0.004,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.265277024262767,1.169356633911473,4.447077024262767,85.23,1.85,5.45,1.9091,0.007980208476107604,0.19999999999999718,0.017098557352116964
calm_clean,0.05,0.004,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.004295588424352,0.922400084807949,4.4104355884243525,371.38,1.66,6.55,1.7969300000000001,0.007969511305551083,0.049999999999999295,0.017099308570973762
calm_clean,0.1,0.001,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.695040892673354,1.2912826025458992,4.031380892673355,189.81,3.57,9.45,3.33183,0.007961632183603743,0.11709530665419746,0.017095306654197447
calm_clean,0.2,0.004,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,7.540974395137739,1.216325547604396,4.01725439513774,72.79,1.67,5.08,1.76186,0.007926699421120884,0.2170402736572677,0.017040273657267666
calm_clean,0.05,0.001,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.701840324238338,1.6485804062747809,3.7607203242383385,223.31,3.25,9.84,3.47056,0.008003930946938097,0.1011179287430307,0.017039309581010232
calm_clean,0.15,0.002,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.792777629435763,1.3172572737907526,3.7380176294357623,98.06,2.78,7.07,2.52738,0.007972836538474673,0.18409540568152571,0.017047702840762867
calm_clean,0.1,0.002,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.770761283776132,1.3338953189304303,3.658661283776131,96.64,3.32,7.23,2.55605,0.007945939014832322,0.18530978486749547,0.017061956973499097
